"#","source","filename","r2_key","r2_public_url","status","size_kb"
"39","colors/4fd82a75-40cc-4b2f-b1a4-53adffdddd5d/ img2","1780688725921_1gqycb.JPG","nyvarastore/products/1780688725921_1gqycb.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780688725921_1gqycb.JPG","copied","2273.0"
"40","colors/d1c4ce54-ed0d-4054-a3b2-bb7fdef6590b/ img2","1780855111099_osqa9s.webp","nyvarastore/products/1780855111099_osqa9s.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780855111099_osqa9s.webp","copied","9.0"
"41","colors/d1c4ce54-ed0d-4054-a3b2-bb7fdef6590b/ img2","1780855155144_wdkd5n.webp","nyvarastore/products/1780855155144_wdkd5n.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780855155144_wdkd5n.webp","copied","9.4"
"42","colors/d1c4ce54-ed0d-4054-a3b2-bb7fdef6590b/ img2","1780855203000_15wnk.webp","nyvarastore/products/1780855203000_15wnk.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780855203000_15wnk.webp","copied","9.0"
"43","colors/8fe05088-311b-47dd-b1ff-3a8b845af51e/ img2","1780455753372_t8jez.jpg","nyvarastore/products/1780455753372_t8jez.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455753372_t8jez.jpg","copied","46.5"
"44","colors/8fe05088-311b-47dd-b1ff-3a8b845af51e/Noir img1","1780455869727_af3ulb.jpg","nyvarastore/products/1780455869727_af3ulb.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455869727_af3ulb.jpg","copied","44.4"
"45","colors/8fe05088-311b-47dd-b1ff-3a8b845af51e/Noir img2","1780455872378_4sp3mc.jpg","nyvarastore/products/1780455872378_4sp3mc.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455872378_4sp3mc.jpg","copied","46.7"
"46","colors/8fe05088-311b-47dd-b1ff-3a8b845af51e/Gold img1","1780455854276_22ygsg.jpg","nyvarastore/products/1780455854276_22ygsg.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455854276_22ygsg.jpg","copied","45.0"
"47","colors/8fe05088-311b-47dd-b1ff-3a8b845af51e/Gold img2","1780455861956_m0o03o.jpg","nyvarastore/products/1780455861956_m0o03o.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455861956_m0o03o.jpg","copied","42.9"
"48","colors/8fe05088-311b-47dd-b1ff-3a8b845af51e/Blue img1","1780455894594_uaexl.jpg","nyvarastore/products/1780455894594_uaexl.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455894594_uaexl.jpg","copied","49.7"
"49","colors/8fe05088-311b-47dd-b1ff-3a8b845af51e/Blue img2","1780455897405_0pq6af.jpg","nyvarastore/products/1780455897405_0pq6af.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455897405_0pq6af.jpg","copied","48.7"
